寶雅	,2017/6/4 12:11	,Shelim高效保濕精華面膜-膠原蛋白25ml【寶雅】,11,https://tw.mall.yahoo.com/item/p0052131849753,50,銷售件數：2,Shelim,高效,保濕,精華,面膜,膠原,蛋白,25ml,寶雅
寶雅	,2017/6/4 12:11	,Shelim高效保濕精華面膜-綠茶25ml【寶雅】,11,https://tw.mall.yahoo.com/item/p0052131849468,50,銷售件數：6,Shelim,高效,保濕,精華,面膜,綠茶,25ml,寶雅
寶雅	,2017/6/4 12:11	,Shelim高效保濕精華面膜-黃瓜25ml【寶雅】,11,https://tw.mall.yahoo.com/item/p0052131849463,50,銷售件數：2,Shelim,高效,保濕,精華,面膜,黃瓜,25ml,寶雅
寶雅	,2017/6/4 12:11	,Shelim高效保濕精華面膜#珍珠25ml【寶雅】,11,https://tw.mall.yahoo.com/item/p0052131849458,50,銷售件數：2,Shelim,高效,保濕,精華,面膜,珍珠,25ml,寶雅
寶雅	,2017/6/4 12:11	,Bifesta碧菲絲特卸妝棉46張-兩款任選【寶雅】,189,https://tw.mall.yahoo.com/item/p0052131849454,50,銷售件數：5,Bifesta,碧菲絲特,卸妝棉,46,張,兩款,任選,寶雅
寶雅	,2017/6/4 12:11	,Shelim高效保濕精華面膜#蘆薈25ml【寶雅】,11,https://tw.mall.yahoo.com/item/p0052131849451,50,銷售件數：2,Shelim,高效,保濕,精華,面膜,蘆薈,25ml,寶雅
寶雅	,2017/6/4 12:11	,霓淨思N7低頭追劇緊實面膜4入【寶雅】面膜 霓淨思 N7,150,https://tw.mall.yahoo.com/item/p0052110225626,50,銷售件數：2,霓淨思,N7,低頭,追劇,緊實,面膜,4,入,寶雅,面膜,霓淨思,N7
寶雅	,2017/6/4 12:11	,【買一送一】愛康抗菌衛生棉28cm夜用型(7片/包)【寶雅】愛康 抗菌 衛生棉 夜用,99,https://tw.mall.yahoo.com/item/p0052132237750,50,銷售件數：3,買一送一,愛康,抗菌,衛生棉,28cm,夜用,型,7,片,包,寶雅,愛康,抗菌,衛生棉,夜用
寶雅	,2017/6/4 12:11	,霓淨思蜂萃緊緻抗皺面膜(10入)【寶雅】霓淨思 N3 面膜,170,https://tw.mall.yahoo.com/item/p0052110225608,50,銷售件數：2,霓淨思,蜂萃,緊緻,抗皺,面膜,10,入,寶雅,霓淨思,N3,面膜
寶雅	,2017/6/4 12:11	,【買一送一】韓國 Lilian 爽身粉香護墊(18cm/20片)【寶雅】/ 草本 韓國 Lilian,99,https://tw.mall.yahoo.com/item/p005296130780,50,銷售件數：2,買一送一,韓國,Lilian,爽身粉,香,護墊,18cm,20,片,寶雅,草本,韓國,Lilian
寶雅	,2017/6/4 12:11	,歐森好立善綜合維他命發泡錠【寶雅】,138,https://tw.mall.yahoo.com/item/p0052114770075,50,銷售件數：7,歐森,好,立善,綜合,維他命,發泡錠,寶雅
寶雅	,2017/6/4 12:11	,柔綺衣物瞬涼噴霧100ml(Frozen)【寶雅】柔綺 衣物瞬涼 噴霧 涼感 夏天,99,https://tw.mall.yahoo.com/item/p0052128989916,50,銷售件數：2,柔,綺,衣物,瞬涼,噴霧,100ml,Frozen,寶雅,柔,綺,衣物,瞬涼,噴霧,涼感,夏天
寶雅	,2017/6/4 12:11	,【買一送一】韓國 Lilian 爽身粉香衛生棉(26cm/16片)【寶雅】/ 草本 韓國 Lilian,149,https://tw.mall.yahoo.com/item/p005296130486,50,銷售件數：3,買一送一,韓國,Lilian,爽身粉,香,衛生棉,26cm,16,片,寶雅,草本,韓國,Lilian
寶雅	,2017/6/4 12:11	,澡享沐浴乳1000ml 白茶【寶雅】,235,https://tw.mall.yahoo.com/item/p0052121499379,50,銷售件數：4,澡享,沐浴乳,1000ml,白茶,寶雅
寶雅	,2017/6/4 12:11	,【買一送一】芙夏妮水水亮澤洗髮乳550ml【寶雅】芙夏妮 亮澤 洗髮乳,148,https://tw.mall.yahoo.com/item/p0052101377494,50,銷售件數：4,買一送一,芙夏妮,水水,亮澤,洗髮乳,550ml,寶雅,芙夏妮,亮澤,洗髮乳
寶雅	,2017/6/4 12:11	,【買一送一】韓國 Lilian 爽身粉香衛生棉(23cm/18片)【寶雅】/ 草本 韓國 Lilian,149,https://tw.mall.yahoo.com/item/p005296130349,50,銷售件數：3,買一送一,韓國,Lilian,爽身粉,香,衛生棉,23cm,18,片,寶雅,草本,韓國,Lilian
寶雅	,2017/6/4 12:11	,【買一送一】愛康抗菌衛生棉15.5cm護墊(20片/包)【寶雅】愛康 抗菌 護墊,99,https://tw.mall.yahoo.com/item/p0052132238002,50,銷售件數：3,買一送一,愛康,抗菌,衛生棉,15.5,cm,護墊,20,片,包,寶雅,愛康,抗菌,護墊
寶雅	,2017/6/4 12:11	,慢拾光/手沖式不鏽鋼咖啡濾杯【寶雅】咖啡 手沖,650,https://tw.mall.yahoo.com/item/p0052126848607,50,銷售件數：1,慢拾,光,手沖,式,不鏽鋼,咖啡,濾杯,寶雅,咖啡,手沖
寶雅	,2017/6/4 12:11	,【買一送一】味覺噗啾雪色蘇打糖條 48g【寶雅】,78,https://tw.mall.yahoo.com/item/p0052131925830,50,銷售件數：1,買一送一,味覺噗啾,雪色,蘇打,糖條,48g,寶雅
寶雅	,2017/6/4 12:11	,麒麟生茶525ml【寶雅】,33,https://tw.mall.yahoo.com/item/p0052131925823,50,銷售件數：30,麒麟,生茶,525ml,寶雅
